sim_id,strategy,topology,nodes,seed,load,policy_type,policy_param,placement_success,time_s
1,first-fit,star,20,42,0.0,degrade,0.4,0.0172222222222222,0.772
2,first-fit,star,20,42,0.0,degrade,0.5,0.0311111111111111,0.788
3,first-fit,star,20,42,0.0,degrade,0.6,0.0644444444444444,0.737
4,first-fit,star,20,42,0.0,kill,0.01,0.6355555555555555,0.909
5,first-fit,star,20,42,0.0,kill,0.05,0.3883333333333333,0.813
6,first-fit,star,20,42,0.0,kill,0.1,0.2994444444444444,0.871
7,first-fit,star,20,42,0.5,degrade,0.4,0.0127777777777777,0.732
8,first-fit,star,20,42,0.5,degrade,0.5,0.0233333333333333,0.739
9,first-fit,star,20,42,0.5,degrade,0.6,0.025,0.856
10,first-fit,star,20,42,0.5,kill,0.01,0.285,0.842
11,first-fit,star,20,42,0.5,kill,0.05,0.2083333333333333,0.839
12,first-fit,star,20,42,0.5,kill,0.1,0.1327777777777777,0.843
13,first-fit,star,20,3997,0.0,degrade,0.4,0.0555555555555555,0.648
14,first-fit,star,20,3997,0.0,degrade,0.5,0.0805555555555555,0.664
15,first-fit,star,20,3997,0.0,degrade,0.6,0.11,0.643
16,first-fit,star,20,3997,0.0,kill,0.01,0.8027777777777778,0.822
17,first-fit,star,20,3997,0.0,kill,0.05,0.5677777777777778,0.825
18,first-fit,star,20,3997,0.0,kill,0.1,0.515,0.805
19,first-fit,star,20,3997,0.5,degrade,0.4,0.0211111111111111,0.687
20,first-fit,star,20,3997,0.5,degrade,0.5,0.0427777777777777,0.75
21,first-fit,star,20,3997,0.5,degrade,0.6,0.0744444444444444,0.771
22,first-fit,star,20,3997,0.5,kill,0.01,0.5672222222222222,0.81
23,first-fit,star,20,3997,0.5,kill,0.05,0.5133333333333333,0.872
24,first-fit,star,20,3997,0.5,kill,0.1,0.2655555555555555,0.824
25,first-fit,star,50,42,0.0,degrade,0.4,0.0555555555555555,1.088
26,first-fit,star,50,42,0.0,degrade,0.5,0.0955555555555555,1.128
27,first-fit,star,50,42,0.0,degrade,0.6,0.1216666666666666,1.275
28,first-fit,star,50,42,0.0,kill,0.01,0.8366666666666667,1.349
29,first-fit,star,50,42,0.0,kill,0.05,0.6255555555555555,1.432
30,first-fit,star,50,42,0.0,kill,0.1,0.3638888888888889,1.528
31,first-fit,star,50,42,0.5,degrade,0.4,0.0566666666666666,1.224
